,order_number,reference,quantity,ship_out_date,arrival_date
588,WCI124221,R308404,414,,12.07.2021
589,WCI124221,R308404,414,,30.08.2021
590,WCI124221,R308404,0,,18.10.2021
591,WCI124221,R308404,414,,01.11.2021
592,WCI124221,R308404,0,,13.12.2021
593,WCI124221,R308404,414,,20.12.2021
594,WCI124221,R308404,0,,17.01.2022
595,WCI124221,R308404,414,,31.01.2022
596,WCI124221,R308404,0,,28.02.2022
597,WCI124221,R308404,414,,07.03.2022
598,WCI124221,R308404,0,,04.04.2022
599,WCI124221,R308404,414,,11.04.2022
600,WCI124221,R308404,0,,09.05.2022
601,WCI124221,R308404,414,,23.05.2022
602,WCI124221,R308404,0,,20.06.2022
603,WCI124221,R308404,414,,21.06.2021
604,WCI124221,R308404,414,,12.07.2021
605,WCI124221,R308404,0,,30.08.2021
606,WCI124221,R308404,414,,06.09.2021
607,WCI124221,R308404,414,,01.11.2021
608,WCI124221,R308404,414,,13.12.2021
609,WCI124221,R308404,0,,17.01.2022
610,WCI124221,R308404,414,,24.01.2022
611,WCI124221,R308404,0,,28.02.2022
612,WCI124221,R308404,414,,07.03.2022
613,WCI124221,R308404,414,,04.04.2022
614,WCI124221,R308404,414,,16.05.2022
615,WCI124221,R308404,0,,30.05.2022
616,WCI124221,R308404,414,,12.07.2021
617,WCI124221,R308404,414,,30.08.2021
618,WCI124221,R308404,414,,18.10.2021
619,WCI124221,R308404,414,,13.12.2021
620,WCI124221,R308404,414,,17.01.2022
621,WCI124221,R308404,414,,28.02.2022
622,WCI124221,R308404,414,,04.04.2022
623,WCI124221,R308404,414,,09.05.2022
624,WCI124221,R308404,414,,20.06.2022
625,WCI124221,R308404,414,,12.07.2021
626,WCI124221,R308404,414,,30.08.2021
627,WCI124221,R308404,0,,06.09.2021
628,WCI124221,R308404,414,,18.10.2021
